Owner,Type,Path,Method,KPI,Rate,Note
,,,"public void init(int width, int height)",ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public void update(float delta),ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public void renderUI(float delta),ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public void cleanup(),ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
Custom,Class,ItemFactory,private ItemFactory(),ให้พัฒนา Class ขึ้นเอง (Custom Class),,
,,,public static Item create(ItemType itemType),ให้พัฒนา Class ขึ้นเอง (Custom Class),,
Custom,Class,PlayerDataSaver,public static void save(),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public static void load(),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,
,,,static SaveData fromPlayerData(),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,
,,,void applyToPlayerData(),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,
,,,"private ItemType parseItemType(String savedType, int index)",ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,
,,,private ItemType parseEquippedItemType(Object rawValue),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,
Custom,Enum,ItemType,ItemType(String displayName),,,
,,,public String displayName(),,,
Custom,Class,PlayerData,public static boolean hasEnoughCoins(int cost),ให้พัฒนา Class ขึ้นเอง (Custom Class),,Helper functions for readability
,,,public static void deductCoins(int amount),ให้พัฒนา Class ขึ้นเอง (Custom Class),,
,,,public static boolean isItemUnlocked(int itemIndex),ให้พัฒนา Class ขึ้นเอง (Custom Class),,
,,,public static int getItemCount(),ให้พัฒนา Class ขึ้นเอง (Custom Class),,
,,,public static ItemType getItemTypeForIndex(int itemIndex),ให้พัฒนา Class ขึ้นเอง (Custom Class),,
,,,public static int getItemIndexForType(ItemType itemType),ให้พัฒนา Class ขึ้นเอง (Custom Class),,
,,,public static int getEquippedItemIndex(int slot),ให้พัฒนา Class ขึ้นเอง (Custom Class),,
,,,public static Item getItemByType(ItemType itemType),ให้พัฒนา Class ขึ้นเอง (Custom Class),,
,,,public static Item ensureItemAtIndex(int itemIndex),ให้พัฒนา Class ขึ้นเอง (Custom Class),,
,,,public static Item[] createDefaultItems(),ให้พัฒนา Class ขึ้นเอง (Custom Class),,
Custom,Class,Item,public void update(float deltaTime),ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public boolean canActivate(),ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public float getCooldownTime(),ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public float getActiveTime(),ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public float getCooldownDuration(),ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public float getDuration(),ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public void setTimer(),ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public void activate(Stage stage),ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
,,,"public void render(Stage stage, TextureBatch batch)",ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
Custom,Class,Freeze,public Freeze(),ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public void activate(Stage stage),ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
Custom,Class,Shield,public Shield(),ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public void activate(Stage stage),ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
,,,"public void render(Stage stage, TextureBatch batch)",ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
Custom,Class,GameConfig,public static int getWidth(),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public static int getHeight(),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public static Vec2 getResolution(),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,
Custom,Abstract Class,Scene,"public void internalInit(int width, int height)",ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,Internal methods called by the engine/LWJGL main loop
,,,"public void internalResize(int width, int height)",ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public void internalTick(float delta),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public void internalCleanup(),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,
,,,"public void init(int width, int height)",ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,"User-level methods
Initializes the scene. Called once when the scene is first loaded."
,,,public void update(float delta),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,Updates the game state.
,,,public void renderWorld(float delta),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,"Renders the world (game objects, background, etc.) in world space using the
world camera."
,,,public void renderUI(float delta),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,"Renders the UI (menus, buttons, text, etc.) in screen space using the UI
camera."
,,,"public void resize(int width, int height)",ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,Called when the window is resized.
,,,public void cleanup(),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,Called when the scene is being destroyed.
,,,protected boolean usesGlobalExitPrompt(),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,
,,,private void initExitPrompt(),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,
,,,private void layoutExitPromptButtons(),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,
,,,private void updateExitPrompt(),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,
,,,private void renderExitPrompt(),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,
,,,private void cleanupExitPrompt(),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,
Custom,Class,Engine,"ScheduledTask(float executeAt, Runnable action)",ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public static void setScene(Scene newScene),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public static Scene getCurrentScene(),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,
,,,"public static void runAfter(Runnable action, float delaySeconds)",ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,Schedules an action to run on the game thread after delaySeconds.
,,,synchronized (scheduledTasksLock),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public static void tickScheduledTasks(),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,Called once per frame from the main loop to execute due scheduled actions.
,,,synchronized (scheduledTasksLock),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public static void requestExit(),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public static void setWindow(long win),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,
Custom,Class,Input,"public void updateKeyState(int key, int action)",ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,
,,,"public void updateMousePosition(float xpos, float ypos)",ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public void endFrame(),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,"Wipe the keysPressed array at the end of each frame to ensure
isKeyPressed only returns true once per key press."
,,,public boolean isKeyDown(int key),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,Checks if a key is currently held down.
,,,public boolean isKeyPressed(int key),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,"Checks if a key was just pressed (transitioned from up to down).
This will return true only once per key press."
,,,public Vec2 getMousePosition(),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,
,,,"public void updateMouseButtonState(int button, int action)",ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public boolean isMouseButtonPressed(int button),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public boolean isMouseButtonReleased(int button),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,
Custom,Class,AudioManager,public float getMasterVolume(),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public void setMasterVolume(float masterVolume),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public float getBgmVolume(),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public void setBgmVolume(float bgmVolume),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public float getSfxVolume(),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public void setSfxVolume(float sfxVolume),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,
,,,private void updateAllActiveSourcesVolume(),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public AudioManager(),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,
,,,"public void loadSound(String name, String filePath)",ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,"Loads an OGG file into an OpenAL buffer and stores it under ""name"". If the
file path has already been loaded, reuses the existing buffer instead of
loading it again.
พารามิเตอร์ name     The name to reference the sound by
พารามิเตอร์ filePath Path to OGG file to load"
,,,public void playSound(String name),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,"Plays the sound identified by ""name"". If that same named sound is already
active, it is restarted."
,,,"public void playSound(String name, boolean loop)",ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,"Plays the sound identified by ""name"" with an option to loop."
,,,"public void playSoundIfNotPlaying(String name, boolean loop)",ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,"Plays the sound identified by ""name"" only if it is not already active. If
that same named sound is already active, this method does nothing."
,,,public void stopSound(String name),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public void cleanup(),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,
Custom,Class,Layout,"public Layout(float width, float height)",ให้พัฒนา Class ขึ้นเอง (Custom Class),,"Creates a layout helper for the given resolution.
พารามิเตอร์ width  viewport width
พารามิเตอร์ height viewport height"
,,,"public void resize(float width, float height)",ให้พัฒนา Class ขึ้นเอง (Custom Class),,"Updates the resolution used for layout calculations.
พารามิเตอร์ width  viewport width
พารามิเตอร์ height viewport height"
,,,"public Vec2 bottomLeft(float x, float y)",ให้พัฒนา Class ขึ้นเอง (Custom Class),,"Methods for aligning UI elements to different parts of the screen.
Positions an element from the bottom-left corner."
,,,"public Vec2 bottomCenter(float x, float y)",ให้พัฒนา Class ขึ้นเอง (Custom Class),,Positions an element from the bottom-center anchor.
,,,"public Vec2 bottomRight(float x, float y)",ให้พัฒนา Class ขึ้นเอง (Custom Class),,Positions an element from the bottom-right corner.
,,,"public Vec2 centerLeft(float x, float y)",ให้พัฒนา Class ขึ้นเอง (Custom Class),,Positions an element from the center-left anchor.
,,,"public Vec2 center(float x, float y)",ให้พัฒนา Class ขึ้นเอง (Custom Class),,Positions an element from the center anchor.
,,,"public Vec2 centerRight(float x, float y)",ให้พัฒนา Class ขึ้นเอง (Custom Class),,Positions an element from the center-right anchor.
,,,"public Vec2 topLeft(float x, float y)",ให้พัฒนา Class ขึ้นเอง (Custom Class),,Positions an element from the top-left corner.
,,,"public Vec2 topCenter(float x, float y)",ให้พัฒนา Class ขึ้นเอง (Custom Class),,Positions an element from the top-center anchor.
,,,"public Vec2 topRight(float x, float y)",ให้พัฒนา Class ขึ้นเอง (Custom Class),,Positions an element from the top-right corner.
,,,public Vec2 fullWidth(float height),ให้พัฒนา Class ขึ้นเอง (Custom Class),,"Methods for UI sizing that scales with screen resolution.
Returns a size spanning the full width and a fixed height."
,,,public Vec2 fullHeight(float width),ให้พัฒนา Class ขึ้นเอง (Custom Class),,Returns a size spanning the full height and a fixed width.
,,,public Vec2 fullScreen(),ให้พัฒนา Class ขึ้นเอง (Custom Class),,Returns the full-screen size vector.
Custom,Class,Button,"public Button(Vec2 position, Vec2 size, String text, Texture bgTexture)",ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,"Creates a button with default background and text hover colors.
พารามิเตอร์ position  button center position
พารามิเตอร์ size      button dimensions
พารามิเตอร์ text      label text
พารามิเตอร์ bgTexture texture used to draw the button body"
,,,"public Button(Vec2 position, Vec2 size, String text, Color color, Color hoverColor, Texture bgTexture)",ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,"Creates a button with custom background colors and default text colors.
พารามิเตอร์ position   button center position
พารามิเตอร์ size       button dimensions
พารามิเตอร์ text       label text
พารามิเตอร์ color      background color in normal state
พารามิเตอร์ hoverColor background color when hovered
พารามิเตอร์ bgTexture  texture used to draw the button body"
,,,public void setText(String text),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,"Set the text displayed on the button.
พารามิเตอร์ text text to display"
,,,public void setOnClick(Runnable onClick),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,"Add a callback called when the button is clicked.
พารามิเตอร์ onClick callback invoked on click"
,,,public void setOnHover(Runnable onHover),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,"Add a callback called when the button is hovered.
พารามิเตอร์ onHover callback invoked while hovered"
,,,public void setOnEnter(Runnable onEnter),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,"Add a callback called when the mouse enters the button area.
พารามิเตอร์ onEnter callback invoked on hover enter"
,,,public void setOnLeave(Runnable onLeave),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,"Add a callback called when the mouse leaves the button area.
พารามิเตอร์ onLeave callback invoked on hover leave"
,,,"public void update(Vec2 mousePos, boolean mousePressed)",ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,
,,,"public void render(TextureBatch batch, FontAtlas font, Vec2 mousePos)",ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,"Renders this button and its text label.
พารามิเตอร์ batch    texture batch used for drawing
พารามิเตอร์ font     font atlas used for text rendering
พารามิเตอร์ mousePos current mouse position used for hover coloring"
,,,public boolean isHovered(Vec2 mousePos),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,"Checks whether a point lies inside the button bounds.
พารามิเตอร์ mousePos point to test
ส่งข้อมูลออก {@code true} when inside the button area"
,,,public void cleanup(),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,Releases button-owned resources.
Custom,Class,UIManager,public UIManager(),ให้พัฒนา Class ขึ้นเอง (Custom Class),,Creates an empty UI manager.
,,,public void add(Button button),ให้พัฒนา Class ขึ้นเอง (Custom Class),,"Adds a button to the managed UI list.
พารามิเตอร์ button button to add"
,,,public void add(Slider slider),ให้พัฒนา Class ขึ้นเอง (Custom Class),,"Adds a slider to the managed UI list.
พารามิเตอร์ slider slider to add"
,,,"public void update(Vec2 mousePos, boolean mouseReleased)",ให้พัฒนา Class ขึ้นเอง (Custom Class),,"Updates all managed controls from current input state.
พารามิเตอร์ mousePos      current mouse position in UI coordinates
พารามิเตอร์ mouseReleased mouse button action for button update flow"
,,,"public void render(TextureBatch batch, FontAtlas font, Vec2 mouseScreen)",ให้พัฒนา Class ขึ้นเอง (Custom Class),,"Renders all managed controls.
พารามิเตอร์ batch       texture batch used for drawing
พารามิเตอร์ font        font atlas used for text rendering
พารามิเตอร์ mouseScreen current mouse position for hover-aware rendering"
,,,public void cleanup(),ให้พัฒนา Class ขึ้นเอง (Custom Class),,Cleans up resources owned by managed controls.
,,,public ArrayList<Button> getButtons(),ให้พัฒนา Class ขึ้นเอง (Custom Class),,"Returns currently managed buttons.
ส่งข้อมูลออก button list"
Custom,Class,Slider,"public Slider(Vec2 position, Vec2 size, String label, float initialValue, Texture bgTexture)",ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,"Creates a slider with default colors.
พารามิเตอร์ position     slider center position
พารามิเตอร์ size         slider total dimensions
พารามิเตอร์ label        label text shown beside the bar
พารามิเตอร์ initialValue initial value in [0, 1]
พารามิเตอร์ bgTexture    texture used to draw slider bar regions"
,,,public void setOnValueChanged(OnValueChangedCallback callback),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,"Set a callback to be called when the slider value changes. The callback will
receive the new slider value (0.0 to 1.0) as a parameter.
พารามิเตอร์ callback callback invoked on value change"
,,,public void setValue(float value),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,"Set the slider value (0.0 to 1.0). This will not trigger the onValueChanged
callback.
พารามิเตอร์ value new slider value"
,,,public float getValue(),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,"Get the current slider value (0.0 to 1.0).
ส่งข้อมูลออก current normalized slider value"
,,,"public void update(Vec2 mousePos, boolean mousePressed)",ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,
,,,"public void render(TextureBatch batch, FontAtlas font, Vec2 mousePos)",ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,"Renders label, background bar, and current fill amount.
พารามิเตอร์ batch    texture batch used for drawing
พารามิเตอร์ font     font atlas used for text rendering
พารามิเตอร์ mousePos current mouse position for hover styling"
,,,public boolean isHovered(Vec2 mousePos),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,"Checks whether a point lies inside the slider bounds.
พารามิเตอร์ mousePos point to test
ส่งข้อมูลออก {@code true} when inside slider bounds"
Custom,Class,Resources,private Resources(),ให้พัฒนา Class ขึ้นเอง (Custom Class),,Utility class; not instantiable.
,,,public static ByteBuffer loadResourceToByteBuffer(String resourcePath) throws RuntimeException,ให้พัฒนา Class ขึ้นเอง (Custom Class),,"Loads a classpath resource into a direct {@link ByteBuffer}.
พารามิเตอร์ resourcePath classpath-relative resource path
ส่งข้อมูลออก buffer containing the resource bytes, flipped and ready for reading
throw RuntimeException if the resource cannot be found or read"
