Owner,Type,Path,Method,KPI,Rate,Note
,,,public static String loadResourcesText(String resourcePath) throws RuntimeException,ให้พัฒนา Class ขึ้นเอง (Custom Class),,"Loads a classpath resource as UTF-8 text.
พารามิเตอร์ resourcePath classpath-relative resource path
ส่งข้อมูลออก decoded UTF-8 string contents
throw RuntimeException if the resource cannot be found or read"
,,,public static byte[] loadResourceAsBytes(String resourcePath) throws RuntimeException,ให้พัฒนา Class ขึ้นเอง (Custom Class),,"Loads a classpath resource as a byte array.
พารามิเตอร์ resourcePath classpath-relative resource path
ส่งข้อมูลออก raw resource bytes
throw RuntimeException if the resource cannot be found or read"
Custom,Class,Matrix4f,public Matrix4f(),ให้พัฒนา Class ขึ้นเอง (Custom Class),,
,,,public void set(Matrix4f other),ให้พัฒนา Class ขึ้นเอง (Custom Class),,
,,,public void setIdentity(),ให้พัฒนา Class ขึ้นเอง (Custom Class),,Sets this matrix to the Identity Matrix
,,,"public static Matrix4f multiply(Matrix4f a, Matrix4f b)",ให้พัฒนา Class ขึ้นเอง (Custom Class),,Multiplies two 4x4 matrices and returns the result as a new Matrix4f
,,,"public static Matrix4f translate(float x, float y, float z)",ให้พัฒนา Class ขึ้นเอง (Custom Class),,"Creates a translation matrix for the given x, y, z translation values.
The resulting matrix will move points by (x, y, z) when applied to them."
,,,"public static Matrix4f scale(float x, float y, float z)",ให้พัฒนา Class ขึ้นเอง (Custom Class),,"Creates a scaling matrix for the given x, y, z scaling factors.
The resulting matrix will scale points by (x, y, z) when applied to them."
,,,public static Matrix4f rotateY(float angleDegrees),ให้พัฒนา Class ขึ้นเอง (Custom Class),,"Creates a rotation matrix that rotates points around the Y-axis by the given
angle in degrees."
,,,public static Matrix4f invert(Matrix4f m),ให้พัฒนา Class ขึ้นเอง (Custom Class),,"Calculates the inverse of a matrix by using Analytic solution.
See https://en.wikipedia.org/wiki/Invertible_matrix#Analytic_solution
If the matrix is not invertible (determinant is zero), this method returns an
identity matrix."
,,,"public void setOrtho(float left, float right, float bottom, float top, float near, float far)",ให้พัฒนา Class ขึ้นเอง (Custom Class),,"Creates an orthographic projection matrix that maps a specified cube region
(left, right, bottom, top, near, far) to normalized device coordinates (-1 to
1 in all axes)."
,,,"public static Vec3 transform(Matrix4f m, Vec3 v)",ให้พัฒนา Class ขึ้นเอง (Custom Class),,"Transforms a Vec3 by this matrix. Useful for converting between
coordinate spaces (e.g. world to screen coordinates)."
Custom,Class,Vec3,"public Vec3(float x, float y, float z)",ให้พัฒนา Class ขึ้นเอง (Custom Class),,
,,,public Vec3 add(Vec3 v),ให้พัฒนา Class ขึ้นเอง (Custom Class),,
,,,public Vec3 scale(float s),ให้พัฒนา Class ขึ้นเอง (Custom Class),,
,,,public float length(),ให้พัฒนา Class ขึ้นเอง (Custom Class),,Magnitude/Length
,,,public Vec3 normalize(),ให้พัฒนา Class ขึ้นเอง (Custom Class),,Normalization (turning the vector into a unit vector of length 1)
,,,public float dot(Vec3 v),ให้พัฒนา Class ขึ้นเอง (Custom Class),,
,,,public Vec3 cross(Vec3 v),ให้พัฒนา Class ขึ้นเอง (Custom Class),,
,,,"public void set(float x, float y)",ให้พัฒนา Class ขึ้นเอง (Custom Class),,
,,,"public void set(float x, float y, float z)",ให้พัฒนา Class ขึ้นเอง (Custom Class),,
Custom,Class,Vec2,"public Vec2(float x, float y)",ให้พัฒนา Class ขึ้นเอง (Custom Class),,
,,,public Vec2 add(Vec2 v),ให้พัฒนา Class ขึ้นเอง (Custom Class),,
,,,public Vec2 sub(Vec2 v),ให้พัฒนา Class ขึ้นเอง (Custom Class),,
,,,public Vec2 mul(float scalar),ให้พัฒนา Class ขึ้นเอง (Custom Class),,
,,,public float length(),ให้พัฒนา Class ขึ้นเอง (Custom Class),,
,,,"public static float distance(Vec2 a, Vec2 b)",ให้พัฒนา Class ขึ้นเอง (Custom Class),,
,,,public Vec2 normalize(),ให้พัฒนา Class ขึ้นเอง (Custom Class),,
,,,"public static boolean isPointInRect(Vec2 point, Vec2 rectPos, Vec2 rectSize)",ให้พัฒนา Class ขึ้นเอง (Custom Class),,
,,,public void set(Vec2 other),ให้พัฒนา Class ขึ้นเอง (Custom Class),,
,,,"public void set(float x, float y)",ให้พัฒนา Class ขึ้นเอง (Custom Class),,
,,,public Vec2 copy(),ให้พัฒนา Class ขึ้นเอง (Custom Class),,
,,,public String toString(),ให้พัฒนา Class ขึ้นเอง (Custom Class),,
Custom,Class,Texture,"CachedTexture(int id, int width, int height)",ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public Texture(String filePath),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,"Loads a texture from a resource path.
พารามิเตอร์ filePath resource path to image data"
,,,synchronized (CACHE_LOCK),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,"Synchronize to prevent multiple threads from loading the same texture
simultaneously"
,,,"public Texture(ByteBuffer bitmap, int width, int height)",ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,"Creates a texture from raw RGBA bitmap data using a centered origin.
พารามิเตอร์ bitmap pixel data in RGBA format
พารามิเตอร์ width  texture width in pixels
พารามิเตอร์ height texture height in pixels"
,,,"public Texture(ByteBuffer bitmap, int width, int height, float originX, float originY)",ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,"Creates a texture from raw RGBA bitmap data.
พารามิเตอร์ bitmap  pixel data in RGBA format
พารามิเตอร์ width   texture width in pixels
พารามิเตอร์ height  texture height in pixels
พารามิเตอร์ originX origin x used for draw alignment
พารามิเตอร์ originY origin y used for draw alignment"
,,,public void bind(),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public void cleanup(),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,"Deletes the texture from GPU memory. Should be called when the texture is
no longer needed."
,,,synchronized (CACHE_LOCK),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public int getWidth(),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,ส่งข้อมูลออก texture width in pixels
,,,public int getHeight(),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,ส่งข้อมูลออก texture height in pixels
,,,public int getId(),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,ส่งข้อมูลออก OpenGL texture id
,,,public float getOriginX(),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,ส่งข้อมูลออก draw origin x in pixels
,,,public float getOriginY(),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,ส่งข้อมูลออก draw origin y in pixels
Custom,Class,AnimationClip,"public AnimationClip(Texture[] frames, float frameDuration)",ให้พัฒนา Class ขึ้นเอง (Custom Class),,"Creates an animation clip from an array of texture frames.
พารามิเตอร์ frames        The frames of the animation
พารามิเตอร์ frameDuration The duration of each frame in seconds"
,,,public Texture getFrame(float time),ให้พัฒนา Class ขึ้นเอง (Custom Class),,"Returns the frame for a given playback time.
พารามิเตอร์ time elapsed animation time in seconds
ส่งข้อมูลออก frame texture at the current time"
Custom,Class,Shader,"public Shader(String vertexSrc, String fragmentSrc)",ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,"Creates and links a shader program from vertex and fragment source code.
พารามิเตอร์ vertexSrc   vertex shader source
พารามิเตอร์ fragmentSrc fragment shader source"
,,,"private int compileShader(int type, String source)",ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,
,,,"public void setUniform1i(String name, int value)",ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,"Sets an integer uniform value.
พารามิเตอร์ name  uniform name
พารามิเตอร์ value uniform value"
,,,"public void setUniform4f(String name, float r, float g, float b, float a)",ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,"Sets a vec4 float uniform value.
พารามิเตอร์ name uniform name
พารามิเตอร์ r    red component
พารามิเตอร์ g    green component
พารามิเตอร์ b    blue component
พารามิเตอร์ a    alpha component"
,,,"public void setUniformMat4f(String name, Matrix4f matrix)",ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,"Sets a 4x4 matrix uniform value.
พารามิเตอร์ name   uniform name
พารามิเตอร์ matrix matrix value"
,,,public void bind(),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,Binds this shader program for subsequent draw calls.
,,,public void dispose(),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,Deletes the underlying OpenGL program.
Custom,Class,OrthoCamera,"public OrthoCamera(int viewportWidth, int viewportHeight, boolean centerCamera)",ให้พัฒนา Class ขึ้นเอง (Custom Class),,"Creates an orthographic camera with an initial viewport.
พารามิเตอร์ viewportWidth  viewport width
พารามิเตอร์ viewportHeight viewport height
พารามิเตอร์ centerCamera   whether world origin should be centered"
,,,"public void setOrtho(float viewportWidth, float viewportHeight, boolean centerCamera)",ให้พัฒนา Class ขึ้นเอง (Custom Class),,"Sets up the camera's projection and view matrices for orthographic rendering.
พารามิเตอร์ viewportWidth  viewport width
พารามิเตอร์ viewportHeight viewport height
พารามิเตอร์ centerCamera   Whether to center the camera on the viewport. If true,
(0, 0) will be the center of the viewport. If false,
(0, 0) will be the bottom-left corner."
,,,public void update(),ให้พัฒนา Class ขึ้นเอง (Custom Class),,"Recalculates the matrices. Must be called every time we move the camera's
position or change the viewport size."
,,,public Vec2 screenToWorld(Vec2 screenCoords),ให้พัฒนา Class ขึ้นเอง (Custom Class),,"Converts screen coordinates (bottom-left origin) to world coordinates based
on the current camera position and viewport size.
พารามิเตอร์ screenCoords screen-space coordinates
ส่งข้อมูลออก world-space coordinates"
,,,"public Vec2 screenToWorld(float screenX, float screenY)",ให้พัฒนา Class ขึ้นเอง (Custom Class),,"Converts screen coordinates (bottom-left origin) to world coordinates based
on the current camera position and viewport size.
พารามิเตอร์ screenX screen x coordinate
พารามิเตอร์ screenY screen y coordinate
ส่งข้อมูลออก world-space coordinates"
,,,public Vec2 worldToScreen(Vec2 worldCoords),ให้พัฒนา Class ขึ้นเอง (Custom Class),,"Converts world coordinates to screen coordinates (bottom-left origin).
พารามิเตอร์ worldCoords world-space coordinates
ส่งข้อมูลออก screen-space coordinates"
,,,"public Vec2 worldToScreen(float worldX, float worldY)",ให้พัฒนา Class ขึ้นเอง (Custom Class),,"Converts world coordinates to screen coordinates (bottom-left origin).
พารามิเตอร์ worldX world x coordinate
พารามิเตอร์ worldY world y coordinate
ส่งข้อมูลออก screen-space coordinates"
Custom,Class,FontAtlas,"public FontAtlas(String ttfFilePath, int fontSize)",ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,"Creates a font atlas from the specified TTF file and font size/resolution.
พารามิเตอร์ ttfFilePath The path to the TTF file.
พารามิเตอร์ fontSize    The size of the font."
,,,"public void drawTextUnaligned(TextureBatch batch, String text, float x, float y, Color color, float scale)",ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,"Draws text with the top-left corner of the text at (x, y) without any
alignment.
พารามิเตอร์ batch texture batch used for rendering
พารามิเตอร์ text  text to render
พารามิเตอร์ x     anchor x position
พารามิเตอร์ y     anchor y position
พารามิเตอร์ color text color
พารามิเตอร์ scale size scale multiplier"
,,,"public void drawTextAligned(TextureBatch batch, String text, float x, float y, Color color, float scale)",ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,"Draws text centered both horizontally and vertically around (x, y).
พารามิเตอร์ batch texture batch used for rendering
พารามิเตอร์ text  text to render
พารามิเตอร์ x     anchor x position
พารามิเตอร์ y     anchor y position
พารามิเตอร์ color text color
พารามิเตอร์ scale size scale multiplier"
,,,"public void drawTextHorizontalAligned(TextureBatch batch, String text, float x, float y, Color color, float scale)",ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,"Draws text centered horizontally around x, but with the top of the text at y.
พารามิเตอร์ batch texture batch used for rendering
พารามิเตอร์ text  text to render
พารามิเตอร์ x     anchor x position
พารามิเตอร์ y     anchor y position
พารามิเตอร์ color text color
พารามิเตอร์ scale size scale multiplier"
,,,public void cleanup(),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,Releases native font data and texture resources.
,,,private float getTextMinY(String text),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,"Helper methods
Calculates the minimum Y offset of the characters in the text."
,,,private float getTextMaxY(String text),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,Calculates the maximum Y offset of the characters in the text.
,,,"public float getTextWidth(String text, float scale)",ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,"Calculates the width of the given text string when rendered with this font
atlas at the specified font size.
พารามิเตอร์ text  The text to measure
พารามิเตอร์ scale Font size
ส่งข้อมูลออก measured width in world units"
,,,"public float getTextHeight(String text, float scale)",ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,"Calculates the height of the given text string when rendered with this font
atlas at the specified font size.
พารามิเตอร์ text  The text to measure
พารามิเตอร์ scale Font size
ส่งข้อมูลออก measured height in world units"
,,,"public Vec2 measure(String text, float scale)",ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,"Measures the dimensions of the given text string when rendered with this font
atlas at the specified font size.
พารามิเตอร์ text  The text to measure
พารามิเตอร์ scale Font size
ส่งข้อมูลออก A Vec2 containing the width (x) and height (y) of the text"
Custom,Class,Graphics,"public void updateTime(float time, float deltaTime)",ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,"Updates frame timing and FPS counters.
พารามิเตอร์ time      total elapsed runtime in seconds
พารามิเตอร์ deltaTime elapsed time in seconds since previous frame"
,,,public float getTime(),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,Returns the total time in seconds since the application started.
,,,public float getDeltaTime(),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,The time span between the current frame and the last frame in seconds.
,,,public int getFramesPerSecond(),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,Returns the average number of frames per second.
Custom,Class,TextureBatch,public TextureBatch(),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,Creates a texture batch with dynamic vertex buffers and default shader.
,,,public void begin(),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,Begins a new drawing batch.
,,,"public void draw(Texture texture, Vec2 position, float w, float h)",ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,"Adds a texture to the batch.
พารามิเตอร์ texture  The texture to add
พารามิเตอร์ position The position
พารามิเตอร์ w        The width
พารามิเตอร์ h        The height"
,,,"public void draw(Texture texture, float x, float y, float w, float h)",ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,"Adds a texture to the batch.
พารามิเตอร์ texture The texture to add
พารามิเตอร์ x       The x position
พารามิเตอร์ y       The y position
พารามิเตอร์ w       The width
พารามิเตอร์ h       The height"
,,,"public void drawAnimation(AnimationClip clip, Vec2 position, float time, float w, float h)",ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,"Draws a frame from an animation clip.
พารามิเตอร์ clip     AnimationClip to draw
พารามิเตอร์ position The position
พารามิเตอร์ time     The time within the animation
พารามิเตอร์ w        The width
พารามิเตอร์ h        The height"
,,,"public void drawRect(Vec2 position, Vec2 size, Color color)",ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,"Draws a solid rectangle with the given color.
พารามิเตอร์ position
พารามิเตอร์ size
พารามิเตอร์ color"
,,,public void flush(),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,Sends the current batch to the GPU and draws it.
,,,public void setColor(Color color),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,"Sets the current tint color for subsequent draws.
พารามิเตอร์ color tint color"
,,,public void setFlipped(boolean flipped),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,"Enables or disables vertical texture coordinate flipping.
พารามิเตอร์ flipped whether UVs should be sampled in flipped mode"
,,,public void end(),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,Ends drawing and flushes any remaining vertices.
,,,public void setProjection(Matrix4f projection),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,"Updates the projection matrix used by the batch shader.
พารามิเตอร์ projection projection matrix"
,,,public void cleanup(),ใช้หลักการ การห่อหุ้ม (Encapsulation) กับ class & abstract class ที่ผู้ใช้สร้างขึ้นเอง,,Deletes OpenGL resources owned by this batch.
Custom,Class,Color,"public Color(float r, float g, float b, float a)",ให้พัฒนา Class ขึ้นเอง (Custom Class),,"Creates a color from normalized RGBA components.
พารามิเตอร์ r red component
พารามิเตอร์ g green component
พารามิเตอร์ b blue component
พารามิเตอร์ a alpha component"
,,,public boolean equals(Object obj),ให้พัฒนา Class ขึ้นเอง (Custom Class),,"Compares two colors by exact float component equality.
พารามิเตอร์ obj object to compare
ส่งข้อมูลออก {@code true} if all RGBA components are equal"
Custom,Class,CollisionManager,public void detectAndDispatch(List<Collidable> collidables),ให้พัฒนา Class ขึ้นเอง (Custom Class),,"Detects collisions between active collidables and dispatches
{@link Collidable#onCollision(Collidable)} for both participants when
overlap is found.
พารามิเตอร์ collidables objects to test for collisions"
Custom,Class,AABB,"public AABB(Vec2 min, Vec2 max)",ให้พัฒนา Class ขึ้นเอง (Custom Class),,"Creates an axis-aligned bounding box from two corners.
พารามิเตอร์ min the minimum corner
พารามิเตอร์ max the maximum corner"
,,,public boolean intersects(AABB other),ให้พัฒนา Class ขึ้นเอง (Custom Class),,"Checks whether this box overlaps another box.
พารามิเตอร์ other the other bounding box to test against
ส่งข้อมูลออก {@code true} if the two boxes overlap; otherwise {@code false}"
Custom,Class,Entity,"public Entity(Vec2 position, Vec2 size)",ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,"Creates a new entity with the given position and size.
<p>
Size is used to calculate the bounding box, centered on the position.
</p>
พารามิเตอร์ position initial center position
พารามิเตอร์ size     dimensions used to compute the bounding box extents"
,,,public void update(float delta),ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,"Updates entity state.
พารามิเตอร์ delta elapsed time in seconds since the previous frame"
,,,public void render(),ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,Renders the entity.
,,,"public void move(Vec2 delta, float deltaTime)",ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,"Moves the entity by the given direction/offset scaled by delta time and
updates the bounding box accordingly.
พารามิเตอร์ delta     movement vector applied this frame
พารามิเตอร์ deltaTime elapsed time in seconds used as scale for movement"
,,,public AABB getBoundingBox(),ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,Collidable interface implementation
,,,public int getLayer(),ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,"Returns the collision layer bit for this entity.
ส่งข้อมูลออก layer bitmask; default is {@code 0}"
,,,public int getMask(),ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,"Returns the collision mask used to filter target layers.
ส่งข้อมูลออก collision mask bitmask; default is {@code 0}"
,,,public boolean isActive(),ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,
,,,public void onCollision(Collidable other),ใช้หลักการ การสืบทอด (Inheritance) กับ class & abstract class & interface  ที่ผู้ใช้สร้างขึ้นเอง,,"Handles collision callbacks.
พารามิเตอร์ other the collidable collided with"
